"treatment","measurement","time","dens","temp","group"
"A",1,0,0,15,"cil"
"A",2,16,0,15,"cil"
"A",2,16,0,15,"cil"
"A",2,16,0,15,"cil"
"B",2,16,0,15,"cil"
"C",2,16,0,15,"cil"
"C",2,16,0,15,"cil"
"D",2,16,0,15,"cil"
"D",2,16,0,15,"cil"
"A",3,39.5,0,15,"cil"
"A",3,39.5,0,15,"cil"
"A",3,39.5,0,15,"cil"
"B",3,39.5,0,15,"cil"
"C",3,39.5,0,15,"cil"
"C",3,39.5,0,15,"cil"
"C",3,39.5,0,15,"cil"
"C",3,39.5,0,15,"cil"
"C",3,39.5,0,15,"cil"
"D",3,39.5,0,15,"cil"
"D",3,39.5,0,15,"cil"
"A",4,69.5,0,15,"cil"
"A",4,69.5,0,15,"cil"
"A",4,69.5,0,15,"cil"
"B",4,69.5,0,15,"cil"
"C",4,69.5,0,15,"cil"
"C",4,69.5,0,15,"cil"
"C",4,69.5,0,15,"cil"
"C",4,69.5,0,15,"cil"
"C",4,69.5,0,15,"cil"
"D",4,69.5,0,15,"cil"
"D",4,69.5,0,15,"cil"
"A",5,91,0,15,"cil"
"A",5,91,0,15,"cil"
"A",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"B",5,91,0,15,"cil"
"C",5,91,0,15,"cil"
"C",5,91,0,15,"cil"
"C",5,91,0,15,"cil"
"C",5,91,0,15,"cil"
"C",5,91,0,15,"cil"
"D",5,91,0,15,"cil"
"D",5,91,0,15,"cil"
"D",5,91,0,15,"cil"
"D",5,91,0,15,"cil"
"A",6,115.5,0,15,"cil"
"A",6,115.5,0,15,"cil"
"A",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"B",6,115.5,0,15,"cil"
"C",6,115.5,0,15,"cil"
"C",6,115.5,0,15,"cil"
"C",6,115.5,0,15,"cil"
"C",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"D",6,115.5,0,15,"cil"
"A",7,137,0,15,"cil"
"A",7,137,0,15,"cil"
"A",7,137,0,15,"cil"
"B",7,137,0,15,"cil"
"B",7,137,0,15,"cil"
"B",7,137,0,15,"cil"
"C",7,137,0,15,"cil"
"C",7,137,0,15,"cil"
"C",7,137,0,15,"cil"
"D",7,137,0,15,"cil"
"D",7,137,0,15,"cil"
"A",8,161.5,0,15,"cil"
"A",8,161.5,0,15,"cil"
"A",8,161.5,0,15,"cil"
"B",8,161.5,0,15,"cil"
"B",8,161.5,0,15,"cil"
"C",8,161.5,0,15,"cil"
"D",8,161.5,0,15,"cil"
"A",9,185,0,15,"cil"
"A",9,185,0,15,"cil"
"A",9,185,0,15,"cil"
"C",9,185,0,15,"cil"
"C",9,185,0,15,"cil"
"D",9,185,0,15,"cil"
"D",9,185,0,15,"cil"
"A",10,209.25,0,15,"cil"
"A",10,209.25,0,15,"cil"
"A",10,209.25,0,15,"cil"
"B",10,209.25,0,15,"cil"
"C",10,209.25,0,15,"cil"
"D",10,209.25,0,15,"cil"
"D",10,209.25,0,15,"cil"
"A",11,233,0,15,"cil"
"A",11,233,0,15,"cil"
"A",11,233,0,15,"cil"
"C",11,233,0,15,"cil"
"C",11,233,0,15,"cil"
"C",11,233,0,15,"cil"
"D",11,233,0,15,"cil"
"D",11,233,0,15,"cil"
"A",12,268.5,0,15,"cil"
"A",12,268.5,0,15,"cil"
"A",12,268.5,0,15,"cil"
"D",12,268.5,0,15,"cil"
