Population (temp-replicate),Time,Abundance,Temperature_C
15-1,0.71,24.76,15
15-1,1.86,26.37,15
15-1,3.16,27.91,15
15-1,4.01,27.55,15
15-1,5.05,33.37,15
15-1,6.25,43.29,15
15-1,7.45,53.21,15
15-1,8.52,65.26,15
15-1,9.57,75.24,15
15-1,10.64,87.29,15
15-1,11.75,80.58,15
15-1,12.73,78.09,15
15-1,14.2,85.81,15
15-1,14.71,75.18,15
15-1,15.96,68.41,15
15-1,17,74.23,15
15-1,17.77,59.32,15
15-1,19.01,52.55,15
15-1,19.96,43.82,15
15-1,21.01,51.72,15
15-1,22.34,59.5,15
15-1,23.34,59.09,15
15-1,24.36,62.83,15
15-1,25.38,66.57,15
15-1,26.44,76.54,15
15-1,27.58,76.07,15
15-1,28.9,81.77,15
15-1,29.77,85.57,15
15-1,30.75,81,15
15-1,31.66,66.03,15
15-1,32.72,76.01,15
15-1,33.93,63,15
15-1,34.93,62.59,15
15-1,36.08,64.19,15
15-1,36.92,61.76,15
15-1,38.25,69.54,15
15-1,39.25,69.12,15
15-1,40.24,66.63,15
15-1,41.34,59.92,15
15-1,42.35,61.58,15
15-1,43.3,52.85,15
15-1,44.58,52.32,15
15-1,45.49,60.27,15
15-1,46.65,63.95,15
15-1,47.39,67.81,15
15-2,0.78,22,15
15-2,1.79,28,15
15-2,2.92,22,15
15-2,3.94,30,15
15-2,5.07,26,15
15-2,6.1,34,15
15-2,7.11,38,15
15-2,8.13,44,15
15-2,9.13,44,15
15-2,10.42,48,15
15-2,11.61,62,15
15-2,12.64,74,15
15-2,13.53,84,15
15-2,14.7,96,15
15-2,15.71,100,15
15-2,16.58,104,15
15-2,18.01,102,15
15-2,18.69,90,15
15-2,19.98,94,15
15-2,20.98,94,15
15-2,21.97,90,15
15-2,22.95,82,15
15-2,24.24,84,15
15-2,25.06,72,15
15-2,26.18,64,15
15-2,27.17,60,15
15-2,28.3,56,15
15-2,29.46,62,15
15-2,30.48,68,15
15-2,31.44,54,15
15-2,32.74,60,15
15-2,33.48,68,15
15-2,34.94,80,15
15-2,35.94,78,15
15-2,36.69,90,15
15-2,37.98,92,15
15-2,38.84,94,15
15-2,40.1,86,15
15-2,41,100,15
15-2,42.13,96,15
15-2,43.13,94,15
15-2,44.1,84,15
15-2,45.39,88,15
15-2,46.36,76,15
15-2,47.25,86,15
20-1,0.65,19.23,20
20-1,1.92,23.08,20
20-1,2.91,25,20
20-1,4.03,26.92,20
20-1,4.88,30.77,20
20-1,6.34,42.31,20
20-1,7.13,59.62,20
20-1,8.17,73.08,20
20-1,9.37,88.46,20
20-1,10.49,90.38,20
20-1,11.22,71.15,20
20-1,12.25,57.69,20
20-1,13.31,48.08,20
20-1,14.4,44.23,20
20-1,15.27,25,20
20-1,16.27,30.77,20
20-1,17.25,32.69,20
20-1,18.55,40.38,20
20-1,19.52,65.38,20
20-1,20.68,75,20
20-1,21.85,84.62,20
20-1,22.74,94.23,20
20-1,23.78,82.69,20
20-1,24.5,36.54,20
20-1,25.44,30.77,20
20-1,26.56,57.69,20
20-1,27.99,65.38,20
20-1,28.74,75,20
20-1,29.93,88.46,20
20-1,31.07,94.23,20
20-1,32.1,105.77,20
20-1,33.13,115.38,20
20-1,34.07,84.62,20
20-1,35.09,92.31,20
20-1,36.11,76.92,20
20-1,37.21,100,20
20-1,38.04,50,20
20-1,39.09,38.46,20
20-1,40.01,53.85,20
20-1,41.23,73.08,20
20-1,42.47,71.15,20
20-1,43.44,71.15,20
20-1,44.38,90.38,20
20-1,45.41,100,20
20-1,46.55,105.77,20
20-1,47.44,90.38,20
20-1,48.32,75,20
20-1,49.4,69.23,20
20-1,50.28,51.92,20
20-1,51.25,51.92,20
20-2,0.83,22,20
20-2,1.94,10,20
20-2,2.92,26,20
20-2,3.89,52,20
20-2,5,58,20
20-2,5.83,80,20
20-2,7.22,78,20
20-2,8.06,96,20
20-2,9.03,48,20
20-2,10,44,20
20-2,11.11,28,20
20-2,12.08,48,20
20-2,13.19,56,20
20-2,14.17,70,20
20-2,15.14,80,20
20-2,16.11,100,20
20-2,17.22,118,20
20-2,18.33,86,20
20-2,19.31,40,20
20-2,20.28,28,20
20-2,21.25,62,20
20-2,22.5,54,20
20-2,23.19,44,20
20-2,24.31,48,20
20-2,25.56,58,20
20-2,26.53,74,20
20-2,27.5,94,20
20-2,28.33,100,20
20-2,29.58,94,20
20-2,30.56,80,20
20-2,31.53,60,20
20-2,32.5,74,20
20-2,33.75,66,20
20-2,34.72,46,20
20-2,35.83,26,20
20-2,36.67,36,20
20-2,37.78,46,20
20-2,38.89,64,20
20-2,39.86,80,20
20-2,40.83,102,20
20-2,41.94,110,20
20-2,43.33,116,20
20-2,43.89,128,20
20-2,45.14,116,20
20-2,46.11,116,20
20-2,47.08,102,20
20-2,48.19,78,20
20-2,49.31,42,20
20-2,50.28,22,20
20-2,51.25,28,20
20-2,51.94,46,20
20-2,53.47,52,20
20-2,54.72,72,20
20-2,55.28,98,20
20-2,56.25,104,20
25-1,0.87,14.58,25
25-1,1.74,25,25
25-1,2.78,50,25
25-1,3.92,60.42,25
25-1,5.17,112.5,25
25-1,6.31,120.83,25
25-1,7.07,93.75,25
25-1,7.73,31.25,25
25-1,8.99,37.5,25
25-1,9.98,43.75,25
25-1,11.29,64.58,25
25-1,12.21,95.83,25
25-1,13.45,143.75,25
25-1,14.38,125,25
25-1,15.22,29.17,25
25-1,16,10.42,25
25-1,17.11,8.33,25
25-1,18.22,8.33,25
25-1,19.21,14.58,25
25-1,20.21,25,25
25-1,21.42,12.5,25
25-1,22.79,4.17,25
25-2,0.87,16.98,25
25-2,1.99,19.52,25
25-2,3.02,38.7,25
25-2,4.04,55.79,25
25-2,5.34,123,25
25-2,6.35,138.01,25
25-2,7.26,115.47,25
25-2,8.34,103.42,25
25-2,9.28,41.31,25
25-2,10.15,56.26,25
25-2,11.23,44.21,25
25-2,12.31,82.16,25
25-2,13.48,105.56,25
25-2,14.58,151.85,25
25-2,15.73,164.83,25
25-2,16.78,142.35,25
25-2,17.49,46.81,25
25-2,18.41,28.45,25
25-2,19.4,37.2,25
25-2,20.48,25.14,25
25-2,21.47,29.72,25
25-2,22.61,40.61,25
25-2,23.49,57.65,25
25-2,24.69,89.4,25
25-2,25.82,146.12,25
25-2,26.83,159.04,25
25-2,27.58,30.19,25
25-2,28.67,22.31,25
25-2,29.78,22.77,25
