"Species","Temperature_C","arhen_temp","Period","Ref","Replicate"
"Didinium",20,39.5733517797917,17,"Delong et al. 2020",NA
"Didinium",23,39.1724736594494,11,"Delong et al. 2020",NA
"Didinium",25,38.9097034185676,9,"Delong et al. 2020",NA
"Didinium",27,38.6504350299715,9,"Delong et al. 2020",NA
"Didinium",31,38.1421274839584,6,"Delong et al. 2020",NA
"Paramecium",17,39.9825196424123,11,"Delong et al. 2020",NA
"Paramecium",20,39.5733517797917,10,"Delong et al. 2020",NA
"Paramecium",23,39.1724736594494,6,"Delong et al. 2020",NA
"Paramecium",25,38.9097034185676,6,"Delong et al. 2020",NA
"Paramecium",27,38.6504350299715,6,"Delong et al. 2020",NA
"Paramecium",31,38.1421274839584,3,"Delong et al. 2020",NA
"Rotifer",15,40.2600314913966,14.6666666666667,"Halbach et al. 1984","15-1"
"Rotifer",15,40.2600314913966,22,"Halbach et al. 1984","15-2"
"Rotifer",20,39.5733517797917,12.5,"Halbach et al. 1984","20-1"
"Rotifer",20,39.5733517797917,13.5,"Halbach et al. 1984","20-2"
"Rotifer",25,38.9097034185676,7.33333333333333,"Halbach et al. 1984","25-1"
"Rotifer",25,38.9097034185676,9.33333333333333,"Halbach et al. 1984","25-2"
