"Time","Temperature","Abundance"
1994,19.8137,0.3498
1994.04,19.6273,0.3425
1994.08,19.4729,0.3569
1994.12,19.3593,0.4039
1994.16,19.2972,0.4596
1994.2,19.297,0.4692
1994.24,19.3664,0.3925
1994.28,19.5113,0.2488
1994.32,19.5231,0.1542
1994.36,19.4911,0.1625
1994.4,19.5285,0.2345
1994.44,19.6291,0.3231
1994.48,19.629,0.222
1994.52,19.6276,0.2728
1994.56,19.6835,0.1926
1994.6,19.804,0.3462
1994.64,20.0296,0.2214
1994.68,20.4041,0.2598
1994.72,20.7056,0.2501
1994.76,20.4046,0.3041
1994.8,20.0474,0.3252
1994.84,19.9597,0.2794
1994.88,19.8314,0.2134
1994.92,19.8556,0.2061
1994.96,19.7897,0.2073
1995,19.6353,0.2006
1995.04,19.4591,0.1963
1995.08,19.2262,0.2619
1995.12,19.0168,0.3368
1995.16,18.9503,0.4705
1995.2,18.9113,0.5532
1995.24,18.843,0.6329
1995.28,18.7787,0.6304
1995.32,18.6969,0.5885
1995.36,18.6248,0.4813
1995.4,18.9081,0.4625
1995.44,19.1596,0.4011
1995.48,19.1372,0.6459
1995.52,19.0165,0.5797
1995.56,19.3999,0.4826
1995.6,19.748,0.4175
1995.64,19.9561,0.3173
1995.68,20.2826,0.2802
1995.72,20.3635,0.2896
1995.76,20.2427,0.3007
1995.8,20.2817,0.2993
1995.84,20.3275,0.3122
1995.88,20.2772,0.3497
1995.92,20.1646,0.4049
1995.96,20.017,0.1993
1996,19.6852,0.2456
1996.04,19.3514,0.2604
1996.08,19.0018,0.2664
1996.12,18.7632,0.2029
1996.16,18.9127,0.2995
1996.2,19.0564,0.3324
1996.24,18.9003,0.6189
1996.28,18.7431,0.5344
1996.32,18.856,0.4531
1996.36,18.9656,0.4733
1996.4,19.1569,0.4134
1996.44,19.3268,0.318
1996.48,19.3862,0.4732
1996.52,19.4153,0.5979
1996.56,19.7478,0.4794
1996.6,20.0265,0.4083
1996.64,20.051,0.4073
1996.68,20.0394,0.288
1996.72,20.16,0.3978
1996.76,20.1489,0.4503
1996.8,19.9399,0.3844
1996.84,19.5105,0.3584
1996.88,19.8193,0.4842
1996.92,20.177,0.7024
1996.96,20.4008,0.6075
1997,19.9354,0.4301
1997.04,19.5425,0.2943
1997.08,19.4036,0.3846
1997.12,19.3226,0.3467
1997.16,19.3098,0.3694
1997.2,19.3773,0.4679
1997.24,19.5363,0.5311
1997.28,19.6789,0.5353
1997.32,19.631,0.6072
1997.36,19.5535,0.671
1997.4,19.3895,0.7396
1997.44,19.262,0.7921
1997.48,19.5167,0.6911
1997.52,19.8249,0.547
1997.56,20.2309,0.4727
1997.6,20.7339,0.4683
1997.64,20.7979,0.5026
1997.68,20.7185,0.5296
1997.72,20.5346,0.3525
1997.76,20.1912,0.3842
1997.8,20.2706,0.363
1997.84,20.2947,0.3468
1997.88,20.2417,0.4086
1997.92,20.1134,0.5108
1997.96,19.9771,0.5492
1998,19.8656,0.5034
1998.04,19.7863,0.3464
1998.08,19.5205,0.507
1998.12,19.2999,0.7253
1998.16,19.0903,0.8492
1998.2,18.9751,0.7528
1998.24,19.0971,0.8656
1998.28,19.1891,0.4898
1998.32,19.2051,0.6484
1998.36,19.2125,0.3424
1998.4,19.1981,0.6987
1998.44,19.2603,0.6991
1998.48,19.408,0.818
1998.52,19.5452,0.9135
1998.56,19.7953,0.5823
1998.6,20.0006,0.3714
1998.64,20.5788,0.3842
1998.68,21.3301,0.3699
1998.72,21.292,0.3413
1998.76,21.0448,0.3282
1998.8,20.7862,0.2823
1998.84,20.6329,0.3489
1998.88,20.4605,0.4982
1998.92,20.1917,0.3953
1998.96,19.9143,0.2812
1999,19.61,0.3102
1999.04,19.2946,0.1703
1999.08,19.6046,0.2011
1999.12,19.9247,0.3341
1999.16,19.6102,0.5534
1999.2,19.3854,0.7576
1999.24,19.2918,0.9829
1999.28,19.3514,0.9974
1999.32,19.4412,0.6405
1999.36,19.5093,0.6512
1999.4,19.5679,0.942
1999.44,19.8091,1.0144
1999.48,20.3979,0.6282
1999.52,20.8518,0.2497
1999.56,20.6612,0.3585
1999.6,20.592,0.467
1999.64,20.6839,0.528
1999.68,20.7541,0.5991
1999.72,20.8058,0.3191
1999.76,20.8497,0.4115
1999.8,20.8857,0.2932
1999.84,20.9167,0.3114
1999.88,20.7842,0.3714
1999.92,20.5052,0.4768
1999.96,20.2841,0.2213
2000,20.095,0.2703
2000.04,19.9123,0.3034
2000.08,19.7446,0.3517
2000.12,19.5965,0.4353
2000.16,19.4654,0.5613
2000.2,19.3525,0.671
2000.24,19.2473,0.716
2000.28,19.1402,0.6958
2000.32,19.3576,0.5793
2000.36,19.5475,0.5006
2000.4,19.731,0.4464
2000.44,19.9424,0.4079
2000.48,20.2483,0.4659
2000.52,20.6112,0.4966
2000.56,20.6787,0.4843
2000.6,20.7216,0.5571
2000.64,20.7835,0.3925
2000.68,20.8292,0.4177
2000.72,20.8764,0.377
2000.76,20.9307,0.3324
2000.8,20.9096,0.2746
2000.84,20.4914,0.3314
2000.88,20.0571,0.4218
2000.92,20.0883,0.4168
2000.96,20.0072,0.4219
2001,19.794,0.4147
2001.04,19.5581,0.413
2001.08,19.3033,0.4469
2001.12,19.1729,0.572
2001.16,19.048,0.758
2001.2,18.8995,0.6838
2001.24,18.8925,1.0123
2001.28,19.031,1.0668
2001.32,19.2477,0.2777
2001.36,19.598,0.5185
2001.4,19.9959,0.4771
2001.44,20.3014,0.3775
2001.48,20.136,0.5253
2001.52,20.0581,0.658
2001.56,20.0246,0.6296
2001.6,19.9964,0.2795
2001.64,20.2377,0.4955
2001.68,20.4646,0.3511
2001.72,20.5666,0.6222
2001.76,20.5266,0.5003
2001.8,20.3993,0.3916
2001.84,20.1948,0.328
2001.88,20.0128,0.3179
2001.92,19.8727,0.3411
2001.96,19.7195,0.3448
2002,19.617,0.3533
2002.04,19.5042,0.3566
2002.08,19.4034,0.3847
2002.12,19.3322,0.4529
2002.16,19.308,0.5417
2002.2,19.276,0.9393
2002.24,19.4079,0.8666
2002.28,19.6951,0.5308
2002.32,19.5879,0.4037
2002.36,19.3567,0.6187
2002.4,19.3659,0.5502
2002.44,19.5413,0.4789
2002.48,19.9144,0.587
2002.52,20.2109,0.4118
2002.56,20.4378,0.4325
2002.6,20.7449,0.497
2002.64,21.1184,0.6214
2002.68,21.1209,0.6605
2002.72,21.1839,0.671
2002.76,21.1895,0.5359
2002.8,21.0705,0.4432
2002.84,20.8969,0.4074
2002.88,20.7513,0.457
2002.92,20.6881,0.6813
2002.96,20.5354,0.3448
2003,20.2074,0.3992
2003.04,19.9892,0.4468
2003.08,19.8864,0.4879
2003.12,19.7247,0.5186
2003.16,19.4718,0.8462
2003.2,19.2533,0.9929
2003.24,19.1777,1.0766
2003.28,19.2396,0.6913
2003.32,19.3739,0.4313
2003.36,19.6155,0.3727
2003.4,19.7676,0.3625
2003.44,19.6748,0.442
2003.48,19.6582,0.4528
2003.52,19.7195,0.7941
2003.56,20.0434,0.579
2003.6,20.4724,0.5077
2003.64,20.6359,0.7378
2003.68,20.606,0.7252
2003.72,20.5606,0.6873
2003.76,20.7417,0.6958
2003.8,20.9294,0.4046
2003.84,21.1245,0.3788
2003.88,20.7747,0.2706
2003.92,20.3486,0.2923
2003.96,20.0902,0.3368
2004,19.8628,0.3485
2004.04,19.6622,0.3377
2004.08,19.4963,0.3598
2004.12,19.3913,0.8221
2004.16,19.3642,1.1068
2004.2,19.5385,1.5733
2004.24,19.6577,1.926
2004.28,19.4178,1.7106
2004.32,19.3022,0.9387
2004.36,19.3613,0.7511
2004.4,19.4658,0.4745
2004.44,19.6491,0.5449
2004.48,19.8419,0.5153
2004.52,20.0464,0.3988
2004.56,20.388,0.6416
2004.6,20.9431,0.5623
2004.64,21.3157,0.2808
2004.68,20.7746,0.4633
2004.72,20.3795,0.5516
2004.76,20.3207,0.3949
2004.8,20.236,0.2989
2004.84,20.2753,0.3869
2004.88,20.2459,0.4877
2004.92,20.2944,0.4848
2004.96,20.2131,0.4767
2005,20.0106,0.4404
2005.04,19.8647,0.3897
2005.08,19.7896,0.3052
2005.12,19.447,0.6649
2005.16,19.2071,0.8797
2005.2,19.1589,1.1364
2005.24,19.107,1.0722
