"Time","Temperature","Abundance"
0.0082,21.155,12
0.0164,18.0608,25
0.0247,17.24,9
0.0329,20.2017,1
0.0411,16.3796,14
0.0493,19.391,4
0.0575,20.7912,1
0.0658,23.2508,1
0.074,20.0402,0
0.0822,19.1967,0
0.0904,25.066,1
0.0986,20.9196,2
0.1068,23.2844,3
0.1151,20.3002,1
0.1233,19.8275,10
0.1315,20.4063,12
0.1397,22.7694,13
0.1479,24.7873,5
0.1562,27.6765,8
0.1644,20.6171,4
0.1726,20.6171,0
0.1808,28.6375,0
0.189,27.3277,1
0.1973,30.5056,0
0.2055,25.1488,18
0.2137,30.5056,4
0.2219,22.2481,24
0.2301,25.1304,8
0.2384,24.3452,5
0.2466,26.544,10
0.2548,25.8915,15
0.263,24.0608,12
0.2712,24.9438,4
0.2795,24.6165,7
0.2877,26.1913,6
0.2959,25.2437,2
0.3041,18.8746,0
0.3123,23.4433,4
0.3205,20.1454,1
0.3288,16.4198,0
0.337,20.5733,0
0.3452,16.3796,1
0.3534,19.39,1
0.3616,22.2,1
0.3699,23.25,0
0.3781,20.04,1
0.3863,23.815,3
0.3945,19.195,0
0.4027,22.655,0
0.411,24.7458,0
0.4192,23.2844,4
0.4274,19.2223,1
0.4356,19.8275,2
0.4438,20.4063,5
0.4521,23.6971,0
0.4603,24.7873,0
0.4685,24.2336,2
0.4767,24.2336,4
0.4849,28.8438,3
0.4932,28.3569,1
0.5014,28.8438,12
0.5096,28.3569,1
0.5178,30.539,5
0.526,31.0319,4
0.5342,22.2481,10
0.5425,22.2498,19
0.5507,25.2419,9
0.5589,26.544,6
0.5671,24.6796,11
0.5753,25.896,8
0.5836,24.6646,10
0.5918,25.7396,13
0.6,25.2437,10
0.6082,23.7285,3
0.6164,15.17,8
0.6247,21.05,11
0.6329,21.4,39
0.6411,18.9,22
0.6493,19.3098,16
0.6575,18.8922,6
0.6658,19.9379,0
0.674,20.391,1
0.6822,19.5676,7
0.6904,21.3523,4
0.6986,23.0138,6
0.7068,22.5181,3
0.7151,26.1846,14
0.7233,21.29,6
0.7315,20.08,10
0.7397,19.63,3
0.7479,22.32,10
0.7562,25.26,8
0.7644,23.88,28
0.7726,25.92,24
0.7808,27.6,13
0.789,28.44,5
0.7973,26.01,4
0.8055,27.2,6
0.8137,25.56,10
0.8219,24.9,41
0.8301,27.36,56
0.8384,26.98,36
0.8466,27.07,33
0.8548,28.77,27
0.863,23.2,16
0.8712,22.29,10
0.8795,25.54,28
0.8877,25.9,57
0.8959,23.73,41
0.9041,24.23,54
0.9123,24.29,62
0.9205,16.2367,21
0.9288,23.3635,5
0.937,16.0431,3
0.9452,25.5998,2
0.9534,16.7744,10
0.9616,19.7219,8
0.9699,31.7352,5
0.9781,32.7065,17
0.9863,27.6894,7
0.9945,29.4625,10
1.0027,24.5246,14
1.011,23.0569,3
1.0192,17.145,2
1.0274,26.4673,5
1.0356,25.5796,10
1.0438,34.285,20
1.0521,31.1881,15
1.0603,33.8358,14
1.0685,36.6006,13
1.0767,27.381,12
1.0849,29.6515,17
1.0932,26.6288,9
1.1014,33.415,11
1.1096,30.4727,23
1.1178,33.3871,69
1.126,35.0494,114
1.1342,34.8369,55
1.1425,34.7629,30
1.1507,30.5888,39
1.1589,23.9548,39
1.1671,35.2527,46
1.1753,22.8781,14
1.1836,25.2621,12
1.1918,15.7856,19
1.2,23.4565,9
1.2082,21.1667,14
1.2164,18.3027,7
1.2247,29.5154,6
1.2329,33.4467,16
1.2411,29.5923,9
1.2493,30.0454,40
1.2575,29.0894,12
1.2658,24.8238,26
1.274,22.9977,17
1.2822,26.4758,16
1.2904,25.7908,25
1.2986,27.0663,26
1.3068,29.6335,47
1.3151,28.4544,30
1.3233,29.064,70
1.3315,32.4656,61
1.3397,34.196,38
1.3479,35.5152,20
1.3562,34.371,15
1.3644,36.3888,11
1.3726,36.5846,0
1.3808,33.1002,1
1.389,31.5927,1
1.3973,32.5417,2
1.4055,30.8913,11
1.4137,33.2256,10
1.4219,32.3694,8
1.4301,34.5142,5
1.4384,36.0656,36
1.4466,36.1746,42
1.4548,36.5037,37
1.463,35.5606,14
1.4712,34.5323,32
1.4795,32.6521,11
1.4877,31.8471,14
1.4959,31.6042,12
1.5041,31.6817,7
1.5123,33.1275,18
1.5205,37.089,22
1.5288,38.6971,11
1.537,23.435,13
1.5452,21.246,19
1.5534,23.5867,26
1.5616,20.8927,8
1.5699,22.1331,0
1.5781,20.2754,5
1.5863,23.4165,1
1.5945,25.366,1
1.6027,25.9583,1
1.611,25.7035,3
1.6192,28.9337,15
1.6274,26.8612,12
1.6356,24.975,8
1.6438,26.0925,21
1.6521,23.9783,19
1.6603,23.2181,15
1.6685,21.6283,17
1.6767,26.4696,8
1.6849,26.1619,21
1.6932,28.1667,22
1.7014,30.1433,11
1.7096,32.0948,11
1.7178,32.1198,43
1.726,33.421,17
1.7342,33.6621,7
1.7425,31.6548,11
1.7507,32.0948,10
1.7589,30.9602,8
1.7671,32.2246,15
1.7753,31.9117,21
1.7836,30.8494,15
1.7918,31.1888,42
1.8,28.084,19
1.8082,30.49,22
1.8164,32.6006,30
1.8247,29.8642,30
1.8329,26.7658,23
1.8411,29.7735,18
1.8493,28.6017,14
1.8575,29.4837,20
1.8658,28.9787,24
1.874,28.679,29
1.8822,27.4367,3
1.8904,32.26,6
1.8986,29.6308,8
1.9068,30.2433,8
1.9151,31.81,3
1.9233,31.485,5
1.9315,29.4083,2
1.9397,26.2504,8
1.9479,26.9081,10
1.9562,25.1996,4
1.9644,27.7213,5
1.9726,30.9202,15
1.9808,31.5044,7
1.989,29.7648,8
1.9973,22.7019,0
2.0055,23.5337,0
2.0137,24.1875,0
2.0219,24.6979,0
2.0301,24.7423,0
2.0384,27.4325,0
2.0466,19.9029,2
2.0548,20.9731,0
2.063,26.7937,0
