"Time","Temperature","Abundance"
1980.0577,6.9143,99191.6587
1980.0769,7.3907,109831.1184
1980.0962,7.879,85377.594
1980.1154,8.3062,75436.6076
1980.1346,8.1729,76543.4035
1980.1538,7.8857,45738
1980.1731,8.7859,60668.4311
1980.1923,9.3924,97486.4886
1980.2115,10.1076,112494.5155
1980.2308,10.8714,137214
1980.25,11.0831,123114.7988
1980.2692,11.2772,94863.3825
1980.2885,11.4872,112285.1397
1980.3077,11.6431,181180.265
1980.3269,12.1043,247096.6387
1980.3462,12.5,411642
1980.3654,12.6996,224859.5902
1980.3846,13.274,99286.0571
1980.4038,14.3714,45738
1980.4231,13.4578,63828.3674
1980.4423,12.9248,60025.3552
1980.4615,12.7447,64886.7787
1980.4808,12.5286,81169.9247
1980.5,12.5041,68667.1893
1980.5192,12.4598,64817.217
1980.5385,12.1968,73740.8018
1980.5577,12.1714,65628.8697
1980.5769,11.6268,77327.0886
1980.5962,10.9208,96024.0573
1980.6154,10.382,68425.9442
1980.6346,9.7071,49888.1147
1980.6538,8.4571,45738
1980.6731,8.5783,51462.9773
1980.6923,8.613,60344.7312
1980.7115,8.0232,75741.5269
1980.7308,7.1,62551.4768
1980.75,7.5662,60267.5516
1980.7692,7.676,68500.3492
1980.7885,7.6505,48567.5172
1980.8077,7.2905,34245.6365
1980.8269,6.4654,23000
1980.8462,5.7,34788.7881
1980.8654,6.0061,55108.7399
1980.8846,5.7967,82119.6898
1980.9038,5.4778,67842.858
1980.9231,5.7889,61809.9322
1980.9423,5.4444,75013.0535
1980.9615,5.6427,66317.133
1980.9808,5.7556,67493.191
1981,6.2671,82099.2343
1981.0192,6.6053,72629.1219
1981.0385,6.8667,72651.6449
1981.0577,6.7487,75387.4261
1981.0769,6.4556,46000
1981.0962,6.9391,64540.746
1981.1154,7.0017,103765.8941
1981.1346,7.2222,115909.8954
1981.1538,9.3222,140528.2453
1981.1731,10.4027,182000
1981.1923,11.7111,89081.8446
1981.2115,11.8804,46000
1981.2308,12.2111,96073.0734
1981.25,12.0862,137000
1981.2692,12.2656,106766.2219
1981.2885,12.3,91000
1981.3077,12.8131,147234.0335
1981.3269,13.5778,274000
1981.3462,13.9797,179817.3572
1981.3654,14.9222,91000
1981.3846,14.2189,87287.4897
1981.4038,13.6234,99791.9023
1981.4231,13.5667,75833.1346
1981.4423,13.8548,61849.4159
1981.4615,13.7778,62927.8891
1981.4808,14.1247,46354.166
1981.5,14.9778,46027.0745
1981.5192,14.3665,59509.4318
1981.5385,14.2667,46000
1981.5577,13.4307,119664.0516
1981.5769,12.8333,274000
1981.5962,12.2041,233370.0909
1981.6154,11.8444,274000
1981.6346,10.078,313254.7703
1981.6538,8.4,366000
1981.6731,8.8429,219372.3708
1981.6923,8.8186,177263.7196
1981.7115,8.889,120053.8268
1981.7308,8.8551,91000
1981.75,8.2302,78534.9587
1981.7692,7.6097,55193.9369
1981.7885,7.2419,50371.3917
1981.8077,6.7346,52286.4856
1981.8269,6.1333,22870
1981.8462,6.3237,42371.4796
1981.8654,6.1867,63427.0744
1981.8846,6.1787,57029.4735
1981.9038,6.0889,61785.1884
1981.9231,5.9299,76440.5401
1981.9423,5.9,61417.6622
1981.9615,6.1792,59321.5488
1981.9808,5.9667,68953.9287
1982,6.1702,48763.5513
1982.0192,6.3,40347.6014
1982.0385,6.4198,51487.7914
1982.0577,6.6671,48217.953
1982.0769,7.1333,45738
1982.0962,7.4258,83377.6727
1982.1154,7.6222,82909.0099
1982.1346,8.3109,98766.7588
1982.1538,8.8348,147404.4719
1982.1731,9.6444,182952
1982.1923,10.9051,97529.3362
1982.2115,11.8889,45738
1982.2308,12.5705,77786.739
1982.25,13.8444,137214
1982.2692,13.4792,128369.2468
1982.2885,13.5778,91476
1982.3077,13.6512,151539.7732
1982.3269,13.8333,274428
1982.3462,13.9316,161831.9971
1982.3654,14.4333,91476
1982.3846,14.7966,102688.8571
1982.4038,15.4778,77579.3715
1982.4231,14.8334,71976.586
1982.4423,14.2063,81352.8883
1982.4615,13.9556,60567.0379
1982.4808,14.3452,53241.8499
1982.5,14.5333,61946.8441
1982.5192,13.9496,49039.5203
1982.5385,13.8556,45738
1982.5577,12.7918,141738.7666
1982.5769,11.8778,274428
1982.5962,11.4814,226292.4664
1982.6154,11.1556,274428
1982.6346,10.8805,280639.5993
1982.6538,10.5923,365904
1982.6731,9.9667,216172.5729
1982.6923,9.5547,112847.1533
1982.7115,9.2154,84667.1571
1982.7308,8.7778,91476
1982.75,8.3923,76469.3018
1982.7692,8.0962,69781.6836
1982.7885,7.4573,76568.6391
1982.8077,7.07,56808.3095
1982.8269,7,45738
1982.8462,6.6782,69766.1133
1982.8654,6.456,67919.1418
1982.8846,6.4241,71953.3773
1982.9038,6.3598,78473.8029
1982.9231,6.4267,50101.7598
1982.9423,6.3626,31757.8119
1982.9615,6.0111,22870
1982.9808,6.0322,27411.9742
1983,6.1871,43046.6663
1983.0192,6.0444,68608
1983.0385,6.1491,60100.8645
1983.0577,6.3,62913.4347
1983.0769,6.8329,94531.9993
1983.0962,7.5222,114346
1983.1154,8.4594,281157.1329
1983.1346,9.2111,640332
1983.1538,8.8931,319438.6053
1983.1731,8.6667,182952
1983.1923,9.5494,385673.991
1983.2115,10.3889,686070
1983.2308,10.7418,779203.394
1983.25,10.6333,1234928
1983.2692,11.6189,850718.2043
1983.2885,12.7778,823284
1983.3077,13.3474,530047.9448
1983.3269,14.1333,320166
1983.3462,15.0784,137954.4043
1983.3654,16.0778,45738
1983.3846,15.015,50723.9212
1983.4038,14.2651,49547.7242
1983.4231,13.3,45738
1983.4423,14.5293,57718.4422
1983.4615,15.8222,75057.7798
1983.4808,14.8714,97807.0531
1983.5,14.2556,91476
1983.5192,13.7307,63904.3812
1983.5385,13.1556,69847.313
1983.5577,13.1523,55194.5482
1983.5769,13.5222,45738
1983.5962,12.055,50152.7379
1983.6154,10.6414,32360.035
1983.6346,9.2889,28734.055
1983.6538,9.1923,39784.1619
1983.6731,8.927,31813.9973
1983.6923,8.4333,22870
1983.7115,7.7301,34406.5633
1983.7308,6.9556,22870
1983.75,7.1251,36877.9482
1983.7692,6.8881,58179.6751
1983.7885,6.7702,52461.7289
1983.8077,6.6682,58790.5216
