"Time","Temperature","Abundance"
1.0833,2.9,3.6744
1.1667,5.2,3.8817
1.25,10.2,3.9322
1.3333,17.9,4.288
1.4167,20.4,3.3376
1.5,19.4,3.1537
1.5833,17,2.984
1.6667,15.4,3.542
1.75,11.6,3.0442
1.8333,8,3.3721
1.9167,4.0928,3.666
2,2.9973,3.7303
2.0833,3.7,3.9448
2.1667,7.1,3.8339
2.25,11.1,3.9902
2.3333,19.3,3.4709
2.4167,20.4,4.1103
2.5,22.5831,4.1419
2.5833,21.2,4.304
2.6667,19.8,4.6827
2.75,14.5,3.3922
2.8333,6.95,4.0067
2.9167,4,4.4293
3,2.0437,4.2072
3.0833,1.884,4.1545
3.1667,4.5,4.3613
3.25,12.7,4.0137
3.3333,15,3.2285
3.4167,23.5,3.9923
3.5,22.9,4.1483
3.5833,20,4.2056
3.6667,16.9,4.4295
3.75,14.7,4.8746
3.8333,7.95,4.0873
3.9167,3.9098,4.2947
4,2.6684,4.2584
4.0833,3.2,4.4029
4.1667,6.7,4.0448
4.25,11.7667,4.1821
4.3333,14.65,3.4796
4.4167,22.5,3.4931
4.5,19,4.3659
4.5833,20.3,4.4209
4.6667,15.8,4.882
4.75,13,4.772
4.8333,7.2,4.2803
4.9167,5.7,4.1204
5,4.8,4.0742
5.0833,4.2,4.0272
5.1667,5.2,3.8938
5.25,15.15,3.734
5.3333,17.75,4.0919
5.4167,22,5.5098
5.5,23.6,5.1575
5.5833,20.3,4.3374
5.6667,16.2,5.3283
5.75,10.5,4.2834
5.8333,7.1,3.689
5.9167,5.3,3.8669
6,4.7,4.0318
6.0833,4.5,4.4034
6.1667,8.6,4.4012
6.25,9.9,4.2
6.3333,18,3.6992
6.4167,21.8,5.3597
6.5,22.3,5.1921
6.5833,19.2,5.1041
6.6667,13.9,5.3247
6.75,12.4,5.1763
6.8333,5.8,4.0057
6.9167,4.6,3.7648
7,3.6,4.2314
7.0833,4.5,4.302
7.1667,8.4,4.0287
7.25,10.7,3.7951
7.3333,15.9847,5.0515
7.4167,20.3,5.368
7.5,21.9,5.1227
7.5833,21.9,4.9539
7.6667,17,4.8655
7.75,10.1,4.8004
7.8333,6.3,4
7.9167,4.7,3.7833
8,3.7,3.6221
8.0833,3.6,4.0616
8.1667,5.4,4.2299
8.25,11,4.0053
8.3333,14.9,3.4791
8.4167,19.8,4.0794
8.5,23.4,4.8697
8.5833,22.7,5.0762
8.6667,18.2,4.6802
8.75,8.4,4.8418
8.8333,5.8,4.2039
8.9167,3.9,4.1948
9,2.6878,4.0577
9.0833,3.1,4.0976
9.1667,5.1,4.0331
9.25,13.45,3.7221
9.3333,19,3.7633
9.4167,19.8,4.8861
9.5,24.1,4.9105
9.5833,20.2,4.5583
9.6667,14.8,5.0057
9.75,8.9,4.4229
9.8333,6.7,4.2035
9.9167,3.7687,4.1998
10,3.5,3.9488
10.0833,2.7,4.1481
10.1667,4.6,4.5576
10.25,14.3,4.2754
10.3333,18.6,4.1227
10.4167,21.2,5.1685
10.5,21.65,4.7634
10.5833,17.3,4.8854
10.6667,14.4,4.6574
10.75,8.5,4.4545
10.8333,5.1,3.9729
10.9167,4.5,3.9481
11,3.8,4.0658
11.0833,3.5,4.5798
11.1667,7.3,4.5699
11.25,12.3,4.91
11.3333,15.9,3.6631
11.4167,22,4.9616
11.5,23,5.0974
11.5833,19.9748,5.0884
11.6667,15.3,5.2041
11.75,11.3,5.2484
11.8333,8.9,5.1411
11.9167,5.0722,5.1749
12,4,4.919
12.0833,4.6,4.3178
12.1667,6.1,4.7872
12.25,12,4.3097
12.3333,18.1,4.8364
12.4167,18.4,5.0107
12.5,24.5,5.1397
12.5833,22.3,4.7384
12.6667,16.7,4.8881
12.75,10.5,4.6184
12.8333,6.2,4.4863
12.9167,4.4,4.0375
13,2.9,4.363
13.0833,2.8,4.6171
13.1667,4.4,4.3909
13.25,14.2,4.4507
13.3333,15.2,4.8309
13.4167,19,5.2893
13.5,22.4,5.2232
13.5833,21.1,5.0231
13.6667,14.9,5.3281
13.75,11.15,5.3885
13.8333,5.9,4.4453
13.9167,2.7593,4.6864
14,2.4383,4.6548
14.0833,3.9,4.7839
14.1667,7.1,4.8729
14.25,11.6,4.5849
14.3333,17,3.6678
14.4167,20.2,5.3962
14.5,23.3,5.708
14.5833,21.9,5.7327
14.6667,16.3,5.7705
14.75,10.7,5.6296
14.8333,6.6,4.7131
14.9167,5.3,4.0773
15,3.6,3.8789
15.0833,4.2,4.4698
15.1667,7.8,4.265
15.25,11.3,4.6183
15.3333,18.5,4.3551
15.4167,22.3,4.6429
15.5,24.3,4.5203
15.5833,20.65,4.3543
15.6667,14,4.8053
15.75,9.9,3.8981
15.8333,5.3,3.3915
15.9167,3.9,2.9683
16,3.3,3.8079
16.0833,2.8,3.3209
16.1667,4.8,4.0863
16.25,12.2,4.1646
16.3333,18,3.1097
16.4167,20,4.085
16.5,22.15,4.1857
16.5833,20.9,4.3747
16.6667,16.4435,4.3503
16.75,11.1,4.1862
16.8333,5.9,4.1237
16.9167,2.7255,4.2092
17,2.3037,4.0668
17.0833,3.6,4.1169
17.1667,6.4,3.9438
17.25,19.9,4.3229
17.3333,22.3,4.2695
17.4167,20.2,4.6429
17.5,19.6,4.4639
17.5833,19.4,4.4084
17.6667,15.899,4.6294
17.75,11.5,4.642
17.8333,7.6,4.4196
17.9167,4.8158,4.0983
18,4.74,3.6625
18.0833,4.61,3.8005
18.1667,6.81,3.9061
18.25,8.27,3.9375
18.3333,22.71,4.0002
18.4167,22.58,4.917
18.5,22.07,4.309
18.5833,24.52,4.4177
