"Time","Temperature","Abundance"
1972.0192,3.8,619
1972.0385,3.8,889
1972.0577,2.3,193
1972.0769,2.8,178
1972.0962,2,0
1972.1154,1.1,0
1972.1346,1.5,0
1972.1538,0.9,0
1972.1731,1.4,0
1972.1923,2.0741,0
1972.2115,2.4,0
1972.2308,3.7,0
1972.25,3.9,0
1972.2692,4.8,0
1972.2885,4,0
1972.3077,5.4,0
1972.3269,6.6,0
1972.3462,8.6,0
1972.3654,11.8,0
1972.3846,10.2,0
1972.4038,13,0
1972.4231,14.4,0
1972.4423,17.7,0
1972.4615,15.4,0
1972.4808,17.5,0
1972.5,18.7,0
1972.5192,20.2,0
1972.5385,18.4,228
1972.5577,21.9,1465
1972.5769,23.3,2140
1972.5962,21.7408,1295
1972.6154,20.905,771.8717
1972.6346,20.1,156
1972.6538,21.4,214
1972.6731,21.3,183
1972.6923,19.4,1265
1972.7115,18.9,46
1972.7308,20,572
1972.75,18.6,117
1972.7692,17,0
1972.7885,15.8,236
1972.8077,13.9,20
1972.8269,12.4,409
1972.8462,11.5,60
1972.8654,10.5,116
1972.8846,9.2,129
1972.9038,8.3,310
1972.9231,7,182
1972.9423,6.5,274
1972.9615,5.8,636
1972.9808,4.1,308
1973,3.8,168
1973.0192,4.5,264
1973.0385,2.5,120
1973.0577,0.5,200
1973.0769,4,32
1973.0962,4,5
1973.1154,4,0
1973.1346,0.9,0
1973.1538,1,0
1973.1731,1.8,0
1973.1923,3,0
1973.2115,5.5,0
1973.2308,4.5,0
1973.25,5,0
1973.2692,6,0
1973.2885,6,0
1973.3077,7,0
1973.3269,10.5,0
1973.3462,9,0
1973.3654,11,0
1973.3846,13.2,0
1973.4038,13,0
1973.4231,13.5,0
1973.4423,15.5,0
1973.4615,20,0
1973.4808,18,0
1973.5,19.8,302
1973.5192,19.5,397
1973.5385,24.5,7829
1973.5577,21.2,45260
1973.5769,21.5,16298
1973.5962,20.5,6
1973.6154,21.9519,977
1973.6346,23.5,0
1973.6538,22,42
1973.6731,21,2868
1973.6923,24,6294
1973.7115,20.2,9518
1973.7308,18.5,8282
1973.75,18,2186
1973.7692,17,588
1973.7885,15.8,1136
1973.8077,16,2061
1973.8269,13.5,699
1973.8462,12.5,485
1973.8654,10.2,2649
1973.8846,8.9,1416
1973.9038,8,1106.1608
1973.9231,8,647
1973.9423,5.9,1476
1973.9615,7.6,707
1973.9808,6,434
1974,5.0341,213.3838
1974.0192,4.2,33
1974.0385,3.5,0
1974.0577,1.2,0
1974.0769,0.9,0
1974.0962,4,0
1974.1154,1.5,0
1974.1346,1.2,22
1974.1538,0.5,0
1974.1731,3.1,0
1974.1923,3.7,0
1974.2115,4.5,0
1974.2308,3.9,0
1974.25,4.2,0
1974.2692,4,0
1974.2885,6.4,0
1974.3077,7.3,0
1974.3269,8.2,0
1974.3462,9.2,0
1974.3654,9.6,0
1974.3846,11.7,0
1974.4038,14.1,0
1974.4231,12.8,0
1974.4423,14.1,0
1974.4615,18.6,0
1974.4808,17.8,0
1974.5,19.4,0
1974.5192,18.3,574
1974.5385,22.8,4880
1974.5577,21,8019
1974.5769,20.3,16386
1974.5962,21.3,3474
1974.6154,21.8302,2418.3064
1974.6346,22.6,875
1974.6538,22.7209,1223
1974.6731,23,2520
1974.6923,22.1,2312
1974.7115,19.7,10542
1974.7308,19.5,22621
1974.75,18.2,24794
1974.7692,17.8,16110
1974.7885,15.8,13060
1974.8077,15.1,15055
1974.8269,11.2,7165
1974.8462,10.9,3864
1974.8654,10.9,1034
1974.8846,9.8,1144
1974.9038,7.8,773
1974.9231,5.8,650.5062
1974.9423,5.6,344
1974.9615,5.1,153
1974.9808,3.7,191.1025
1975,4.8,132
1975.0192,3.6,273
1975.0385,4.2,107
1975.0577,1.6,0
1975.0769,3.3,0
1975.0962,2.1,0
1975.1154,1.8,0
1975.1346,1.4,0
1975.1538,3.5,23
1975.1731,2.6,0
1975.1923,2.5,0
1975.2115,3,0
1975.2308,5.1,0
1975.25,4,0
1975.2692,4,0
1975.2885,5.7,0
1975.3077,6.2,0
1975.3269,8.2,0
1975.3462,9.7,0
1975.3654,10.8,0
1975.3846,15.5,0
1975.4038,15.5,0
1975.4231,19.5,0
1975.4423,15.7,0
1975.4615,17.1,21
1975.4808,18.4142,4125.0624
1975.5,19.8,15633
1975.5192,21,8748
1975.5385,21.4,12123.8825
1975.5577,22.9,18378
1975.5769,23.4,24438
1975.5962,22.7975,46
1975.6154,22.5,0
1975.6346,21.9,512
1975.6538,21.2,1497
1975.6731,19.9,6101
1975.6923,19.8,29647
1975.7115,17.8,10096
1975.7308,18.2,3018
1975.75,16.9,6223
1975.7692,16.8,13856
1975.7885,14,15045.5339
1975.8077,14.6,19582
1975.8269,13.8,12120
1975.8462,13.6,13455
1975.8654,13.3,5454
1975.8846,10.8,5737
1975.9038,9.7163,4147.466
1975.9231,8.8,3209
1975.9423,5.8,1494
1975.9615,7.9,448
1975.9808,4.7578,302.5338
1976,1.8,117
1976.0192,0.5,143
1976.0385,2,85
1976.0577,0.5,52
1976.0769,1,124
1976.0962,0.5,21
1976.1154,0,11
1976.1346,4,0.1885
1976.1538,4,0
1976.1731,5,0
1976.1923,3,0
1976.2115,4,0
1976.2308,4,0
1976.25,7,0
1976.2692,8,0
1976.2885,6,0
1976.3077,11,0
1976.3269,10,0
1976.3462,11.2691,6.2136
1976.3654,13,0
1976.3846,14.2,0
1976.4038,14.5,0
1976.4231,15.5,39
1976.4423,16.5,33.353
1976.4615,18.1025,0
1976.4808,19.8682,888.8848
1976.5,21.5,3306
1976.5192,23,11645
1976.5385,23,24129
1976.5577,23,13529
1976.5769,21.5,15880
1976.5962,20,1804
1976.6154,21,4347
1976.6346,21.5,1858
1976.6538,23.3,2401
1976.6731,19.5,13329
1976.6923,19,17225
1976.7115,19.6,22721
1976.7308,19.7,32496
1976.75,18.4,15145
1976.7692,17.1354,6892
1976.7885,15.4939,4982.176
1976.8077,13.4416,3145.5204
1976.8269,11.2,963
1976.8462,10,1051
1976.8654,8.8,2366
1976.8846,8,4302
1976.9038,6,3984.9192
1976.9231,5,4026
1976.9423,5,1520
1976.9615,1,2020
1976.9808,2,831
1977,0,413.2317
1977.0192,-0.5,134
1977.0385,-1.7,24
1977.0577,-0.9093,16.3237
1977.0769,-0.5609,10.071
1977.0962,-0.403,10.7748
1977.1154,0.0642,0
1977.1346,0.5,0
1977.1538,-0.5,0
1977.1731,1.5,0
1977.1923,2.6,0
1977.2115,6,0
1977.2308,4,0
1977.25,4,17
1977.2692,5.5,0
1977.2885,6.8,0
1977.3077,9,0
1977.3269,9,0
1977.3462,10.5,0
1977.3654,9.7,0
1977.3846,13.4,0
1977.4038,15.2482,245.9692
1977.4231,17,1021
1977.4423,16,0
1977.4615,17.8079,333.9559
1977.4808,19.1669,1088.0524
1977.5,20.2008,2130.4044
1977.5192,21.3222,2911.2253
1977.5385,22.126,3897.0663
1977.5577,22.6986,5201.4178
1977.5769,23.4489,6164.328
1977.5962,23.9993,7664.3855
1977.6154,24.5,10048
1977.6346,22.5,20176
1977.6538,21,202
1977.6731,21.8,980
1977.6923,22.6,231
1977.7115,20.2,622
1977.7308,19,998
1977.75,17.1,6047
1977.7692,17,7337
1977.7885,14.8,31967
1977.8077,12.5,25329
1977.8269,15.7,9844
1977.8462,13.6975,5252
1977.8654,12.2813,4478.1262
1977.8846,11,3835
1977.9038,9.8,382
1977.9231,7.7221,808.609
1977.9423,5.7236,1065
1977.9615,3.7,329
1977.9808,4,10
1978,3.7,0
1978.0192,2.3005,16.6669
1978.0385,1.5,0
1978.0577,0.9,0
1978.0769,0.6,0
1978.0962,0.3168,3.6848
1978.1154,0.1406,4.9644
1978.1346,0.1,0
1978.1538,0.8,0
1978.1731,0.8,0
1978.1923,-0.1,0
1978.2115,2,0
1978.2308,2.7,0
1978.25,5,0
1978.2692,4.8,0
1978.2885,6,0
1978.3077,7.3,0
1978.3269,8.5,0
1978.3462,7.7,0
1978.3654,11.8,6.4615
1978.3846,12.9178,0
1978.4038,13.7,0
1978.4231,14.8097,0
1978.4423,15.8,383
1978.4615,17.7,25
1978.4808,19,2459
1978.5,18.4,1014
1978.5192,17.8,3904
1978.5385,20.2,2690
1978.5577,22,23111
1978.5769,22.5,11849
1978.5962,21.4,31448
1978.6154,22,11122
1978.6346,23.6,16818
1978.6538,22.3,1784
1978.6731,21.3,2119
1978.6923,21,1376
1978.7115,19.8,24082
1978.7308,17.7,9718
1978.75,16.8,18785
1978.7692,16.8,42919
1978.7885,14.7,14654
1978.8077,13.8,16572
1978.8269,12.9,2554
1978.8462,12.7,14654
1978.8654,12.6,3158
1978.8846,10.7,5167
1978.9038,9.7,2332
1978.9231,7,1915
1978.9423,7,3259
1978.9615,5,784
1978.9808,4,579
1979,4.2476,606.6765
1979.0192,5.4,434
1979.0385,2.5,311
1979.0577,2.3,0
1979.0769,2.2,0
1979.0962,3.3,168
1979.1154,0.7,42
1979.1346,-1.5,0.6146
1979.1538,-1,12.3975
1979.1731,1,3.0467
1979.1923,3.4,0
1979.2115,2,0
1979.2308,3.2,0
1979.25,4.6,0
1979.2692,6.2,0
1979.2885,5.1,0
1979.3077,6.7,0
1979.3269,8.9,0
1979.3462,11.7,0
1979.3654,13.5,0
1979.3846,14.8,77.4149
1979.4038,14.2,341.1298
1979.4231,15.4,589.2146
1979.4423,17.8,998.871
1979.4615,17.2,1637.3729
1979.4808,18.8,2091.734
1979.5,18.4,2765.0558
1979.5192,19.4,3705.6829
1979.5385,18.8,4278.6441
1979.5577,21.7,5086.3223
1979.5769,22.5,6153.1543
1979.5962,25,6655.9107
1979.6154,23.5,7374.6071
1979.6346,20.2,8313.7761
1979.6538,19.3,8523.078
1979.6731,20.9,8921.8549
1979.6923,22.2,9501.8051
1979.7115,20.4,9262.325
1979.7308,20.3,9204.2184
1979.75,17.1,9311.5904
1979.7692,17.8,8612.714
1979.7885,17.8,8115.8555
1979.8077,13.6,7797.6328
1979.8269,14.5,6784.9088
1979.8462,12.4,6011.4981
1979.8654,11.5,5441.1906
1979.8846,11.1,4353.1587
1979.9038,9,3528.3517
1979.9231,10.2,2909.7646
1979.9423,8.2,1972.2744
1979.9615,7.3,1283.7369
1979.9808,4.7,771.2767
1980,3.6593,209.4035
1980.0192,2.9,0
1980.0385,2.4,0
1980.0577,3,0.0088
1980.0769,1.3,0
1980.0962,-1,0
1980.1154,0.6,43
1980.1346,1.5,0
1980.1538,1.3,23
1980.1731,-0.1,18
1980.1923,2.75,0
1980.2115,4.5,0
1980.2308,5,0
1980.25,5.6,0
1980.2692,7,0
1980.2885,10.2,0
1980.3077,9.8,0
1980.3269,9.5,0
1980.3462,11.25,0
1980.3654,11.5,0
1980.3846,14.7,112.3534
1980.4038,15.75,293.6798
1980.4231,16.5,636.4089
1980.4423,15.6,1230.0732
1980.4615,18.3,1746.3305
1980.4808,19.5802,2587.5483
1980.5,20.6,3928
1980.5192,20,3423
1980.5385,21,8941
1980.5577,24,36122
1980.5769,22.7,24644
1980.5962,24.6,1500
1980.6154,23.4,0
1980.6346,21,635
1980.6538,21.8,1007
1980.6731,22.5,8956
1980.6923,21.5,2358
1980.7115,19.9,12172
1980.7308,21.9,15424
1980.75,17.5,2112
1980.7692,16.5,3617
1980.7885,14,1590
1980.8077,9.5,1070
1980.8269,12,2365
1980.8462,10.25,1309
1980.8654,8.5,2276
1980.8846,7,1264
1980.9038,6.2,2413
1980.9231,6,1418
1980.9423,4,1301
1980.9615,4.2,1019
1980.9808,2.7751,754.0885
1981,1.1098,546.8599
1981.0192,-0.9,417.3606
1981.0385,-2,198.3691
1981.0577,-1,102
1981.0769,-0.2,269
1981.0962,0.5,244
1981.1154,-0.5,0
1981.1346,2,82
1981.1538,5.3,110
1981.1731,3.25,65
1981.1923,2.8,50
1981.2115,2.6,0
1981.2308,2.5,0
1981.25,4.5,0
1981.2692,6.5,0
1981.2885,9.75,0
1981.3077,8.9,0
1981.3269,9.6,0
1981.3462,9.5,0
1981.3654,10.5,0
1981.3846,13.7,0
1981.4038,16,125
1981.4231,17.2,25
1981.4423,18,434
1981.4615,18.5,1136.8345
1981.4808,19.5,2189.0027
1981.5,22,3128
1981.5192,22.5152,12864
1981.5385,23.1,78071
1981.5577,22.5,21811
1981.5769,23,728
1981.5962,23,240
1981.6154,23.5,2915
1981.6346,20.8,17662
1981.6538,20.8042,4320
1981.6731,20.5,32796
1981.6923,21,13387
1981.7115,21.2,39914
1981.7308,19,17659
1981.75,18,7690
1981.7692,14.5,11545
1981.7885,13,6727
1981.8077,12.5,13632
1981.8269,12.5,3107
1981.8462,11.8,4869
1981.8654,11,5394
1981.8846,9,3181
1981.9038,7.9,4628
1981.9231,5.5,3863
1981.9423,5,9689
1981.9615,3,1834
1981.9808,2.8605,813
1982,2.5,1039
1982.0192,3,178
1982.0385,-2,87.2124
1982.0577,-1.6523,41.6053
1982.0769,-1.5,0
1982.0962,1.5,0
1982.1154,1.5,0
1982.1346,1.5,0
1982.1538,2,0
1982.1731,1,0
1982.1923,2,0
1982.2115,3,0
1982.2308,4.5,0
1982.25,3.8,0
1982.2692,2,0
1982.2885,4,0
1982.3077,9,0
1982.3269,9.5,0
1982.3462,11,3416
1982.3654,11.5,0
1982.3846,14.2,0
1982.4038,13,0
1982.4231,16,0
1982.4423,15.7641,115.4979
1982.4615,15,312
1982.4808,16.5,174
1982.5,19.2,126.6682
1982.5192,18.5,0
1982.5385,22.5,3878
1982.5577,24,4573
1982.5769,23.3962,16606.1949
1982.5962,23.2,39456
1982.6154,21.5,14456
1982.6346,20.5,8347
1982.6538,19.5,1527
1982.6731,19,1222
1982.6923,18.5,5963
1982.7115,20.5,3189
1982.7308,19,7171
1982.75,18,4486
1982.7692,17.5,12676
1982.7885,15.6,12454
1982.8077,13.4,18233
1982.8269,11.5,13148
1982.8462,13.5,17856
1982.8654,12.5,11118
1982.8846,11.5995,1664
1982.9038,11,3067
1982.9231,10,5056
1982.9423,13,589
1982.9615,6.5,935.6342
1982.9808,4,1310
1983,6.5,132
1983.0192,4,93
1983.0385,4,114
1983.0577,3,0
1983.0769,2,0
1983.0962,2.5,0
1983.1154,1.5,0
1983.1346,1.5,5.2452
1983.1538,3,0
1983.1731,3.2,0
1983.1923,4.5,0
1983.2115,4.5,0
1983.2308,6.5,138
1983.25,5.5,0
1983.2692,6,0
1983.2885,8,0
1983.3077,8.8,0
1983.3269,9,0
1983.3462,11.2,0
1983.3654,13,0
1983.3846,11.5,0
1983.4038,14.8,0
1983.4231,14.5,0
1983.4423,16,0
1983.4615,19.5,456
1983.4808,20.5,737
1983.5,20.6,465
1983.5192,21,2258
1983.5385,21,17276
1983.5577,20.7589,27553.4561
1983.5769,20.5,48480
1983.5962,22.8,16644
1983.6154,23,5398
1983.6346,21,1908
1983.6538,21.7,15405
1983.6731,23,9792
1983.6923,22.5,62.9
1983.7115,23,3949
1983.7308,20.5,16204
1983.75,19.1,460
1983.7692,19,9227.2799
1983.7885,17.5,29754
1983.8077,16.5,12389
1983.8269,12,0
1983.8462,11.6,5393
1983.8654,11.7,5014
1983.8846,10,1012
1983.9038,10,4608
1983.9231,7.1,4279
1983.9423,7,2939
1983.9615,6,3477
1983.9808,5.5,10746
1984,1,2202
1984.0192,1,437
1984.0385,2.5,574
1984.0577,1,726
1984.0769,0,370
1984.0962,1,150
1984.1154,3,92
1984.1346,2,167
1984.1538,4.1,212
1984.1731,4,31
1984.1923,2.8,0
1984.2115,1,0
1984.2308,3,13.0094
1984.25,4,3.2215
1984.2692,6.5,0
1984.2885,6.5,0
1984.3077,7,0
1984.3269,8,0
1984.3462,11,0
1984.3654,11.5,0
1984.3846,12,0
1984.4038,13.5,0
1984.4231,16,0
1984.4423,15.5,0
1984.4615,22,800
1984.4808,18,412
1984.5,18.5,5088
1984.5192,21.5,9958
1984.5385,21.1,18706
1984.5577,22,24324
1984.5769,23,8852
1984.5962,21,19047
1984.6154,23,4232
1984.6346,23,2160
1984.6538,22,8342
1984.6731,22,14459
1984.6923,20,4958
1984.7115,19.5,4549
1984.7308,17.5,13392
1984.75,19,13796
1984.7692,17,12750
1984.7885,15.5,9421
1984.8077,15,5089
1984.8269,15.5,5823.5938
1984.8462,17,5750
1984.8654,13.8,17724
1984.8846,12,8208
1984.9038,8.5,6124
1984.9231,7.5,16484
1984.9423,7,16894
1984.9615,6,1582
1984.9808,7,8544
1985,7,5312
1985.0192,6.5,1980
1985.0385,3.6873,627
1985.0577,1,1612
1985.0769,1,178
1985.0962,0,96.7653
1985.1154,-1.2,124
1985.1346,-1,104
1985.1538,0.5,44
1985.1731,2.5,260
1985.1923,2,970
1985.2115,3,100
1985.2308,3,0
