"Time","Temperature","Abundance"
1,31.9232,17.0004
1.0822,24.2197,23.026
1.1644,23.8967,16.3947
1.2466,20.1887,20.883
1.3288,15.0071,20.2747
1.411,8.1304,24.3182
1.4932,3.4115,21.8058
1.5753,6.7906,25.0103
1.6575,12.7198,27.3696
1.7397,10.239,29.8602
1.8219,15.8448,27.0004
1.9041,28.3125,26.3419
1.9863,30.0767,24.4758
2.0685,23.2244,25.7189
2.1507,19.9291,23.7445
2.2329,18.4819,23.1939
2.3151,15.3941,33.1217
2.3973,10.4635,34.1471
2.4795,8.1645,34.6354
2.5616,8.5967,31.0009
2.6438,12.4321,32.1587
2.726,11.2524,31.0774
2.8082,18.4698,23.3031
2.8904,22.2336,22.086
2.9726,23.6024,23.2675
3.0548,27.1821,22.874
3.137,24.3986,22.5647
3.2192,21.2805,21.7985
3.3014,19.21,23.6709
3.3836,14.0065,25
3.4658,8.6037,22.8076
3.5479,5.8666,20.3982
3.6301,7.1853,21.4188
3.7123,10.5612,24.1971
3.7945,16.5174,24.3154
3.8767,19.6455,23.1824
3.9589,26.0891,21.1753
4.0411,26.3246,15.5847
4.1233,23.9941,13.588
4.2055,26.2866,17.0865
4.2877,22.3243,23.4725
4.3699,14.4695,19.3254
4.4521,6.5622,14.8469
4.5342,8.2957,13.2737
4.6164,11.2076,13.0009
4.6986,17.2542,31.0397
4.7808,21.1878,16.1926
4.863,22.1837,14.1326
4.9452,27.1507,15.0001
5.0274,23.2314,15.0001
5.1096,22.5838,15.8028
5.1918,22.9013,10.9659
5.274,20.3251,16.7686
5.3562,8.2839,17.9999
5.4384,6.9514,16.2469
5.5205,3.4829,16.5297
5.6027,3.0241,19.1414
5.6849,14.0673,23.9542
5.7671,13.6247,28.8521
5.8493,20.6655,21.1345
5.9315,28.0693,15.0109
6.0137,30.5087,13.9945
6.0959,28.3314,13.2409
6.1781,24.9537,13.0615
6.2603,20.3042,21.22
6.3425,16.9567,20.0003
6.4247,12.049,19.854
6.5068,11.0292,16.6699
6.589,10.4847,20.8566
6.6712,13.9183,23.0486
6.7534,14.7392,23.4954
6.8356,21.7445,20.9098
6.9178,23.1761,26.3164
7,27.2783,26.8256
7.0822,24.9976,27.509
7.1644,22.6376,25.2306
7.2466,19.6928,27.6266
7.3288,19.1433,33.1991
7.411,13.3529,34.916
7.4932,4.3103,34.7475
7.5753,9.4515,40.183
7.6575,15.6656,38.896
7.7397,16.7311,28.6358
7.8219,18.3207,35.2856
7.9041,24.2343,29.3151
7.9863,24.6604,21.6392
8.0685,27.6526,17.306
8.1507,26.9936,22.5243
8.2329,23.1894,32.7717
8.3151,18.2565,32.7802
8.3973,7.1763,35.0774
8.4795,0.8414,40.9186
8.5616,5.4925,55.0595
8.6438,11.8978,66.7452
8.726,15.7656,62.5772
8.8082,14.8048,42.6074
8.8904,21.6119,41.0527
8.9726,24.9252,43.6416
9.0548,21.7519,37.4776
9.137,22.8207,33.538
9.2192,25.0251,30.5768
9.3014,10.2637,36.8031
9.3836,11.0177,41.7118
9.4658,5.3324,35.6943
9.5479,6.2424,44.6451
9.6301,8.9166,47.2122
