"Time","Temperature","Abundance"
0.0027,3.9,0
0.0164,7.1,0
0.0301,9.9,1
0.0438,6.2,3
0.0575,5.1,0
0.0712,15.9,0
0.0877,7.7,4
0.1014,12.8,0
0.1151,7.7,0
0.1288,15.5,0
0.1425,10.5,2
0.1562,14.6,11
0.1699,13.5,12
0.1836,16,12
0.1973,18.6,11
0.211,14.3,3
0.2247,16.3,1
0.2384,23.9,15
0.2548,19.7,1
0.2685,18.6,50
0.2822,19.6,172
0.2959,21.2,162
0.3096,23.2,170
0.3233,24.9,73
0.337,25,24
0.3507,22.5,15
0.3644,22.8,2
0.3781,24,40
0.3918,23.9,56
0.4055,29.4,120
0.4219,23.3,43
0.4356,23.2,24
0.4493,24.3,20
0.463,23.8,54
0.4767,23.8,8
0.4904,31.7,12
0.5068,22.7,7
0.5205,25,25
0.5342,17.4,17
0.5479,22.1,23
0.5616,22,26
0.5753,22.4,18
0.589,16.2,9
0.6027,12.9,6
0.6164,18.8,0
0.6301,18.2,9
0.6438,13.1,1
0.6575,21.6,1
0.674,8.3,0
0.6877,9.5,2
0.7014,15,0
0.7151,9,2
0.7288,9.4,0
0.7425,7.3,0
1.0027,6,NA
1.0164,6.3,0
1.0301,5.8,1
1.0438,8.4,1
1.0575,3.7,0
1.0712,13.9,2
1.0877,14,0
1.1014,7.5,0
1.1151,6.4,0
1.1288,9.4,1
1.1425,10.2,5
1.1562,13.6,0
1.1699,12.4,0
1.1836,13,8
1.1973,14,5
1.211,12.1,24
1.2247,15.7,10
1.2384,25.4,1
1.2548,16.5,0
1.2685,19.8,0
1.2822,20.9,0
1.2959,18.3,9
1.3096,19.1,376
1.3233,22.1,33
1.337,23.9,0
1.3507,22,0
1.3644,23.5,7
1.3781,24.6,5
1.3918,23,18
1.4055,31.3,53
1.4219,23.8,334
1.4356,21.7,525
1.4493,22.1,163
1.463,22.7,45
1.4767,25.5,20
1.4904,29.7,18
1.5068,23.8,5
1.5205,22.9,7
1.5342,20,28
1.5479,19,118
1.5616,18.1,128
1.5753,20.7,93
1.589,16.4,45
1.6027,17.3,10
1.6164,11.8,8
1.6301,10.4,8
1.6438,12,4
1.6575,22.9,16
1.674,11.6,5
1.6877,12.5,1
1.7014,11.8,4
1.7151,10.2,4
1.7288,7.7,0
1.7425,4.7,0
2.0027,5.5,NA
2.0164,3.2,2
2.0301,4.8,0
2.0438,6.4,0
2.0575,3.2,0
2.0712,16.7,0
2.0877,10.7,1
2.1014,12.1,16
2.1151,14.3,8
2.1288,15.1,4
2.1425,12.6,0
2.1562,12.9,1
2.1699,18.6,2
2.1836,19.8,7
2.1973,19.4,2
2.211,21.7,5
2.2247,21.3,24
2.2384,27.2,18
2.2548,17.6,105
2.2685,18.4,199
2.2822,22,157
2.2959,21.5,162
2.3096,23.1,345
2.3233,22.3,74
2.337,20.5,30
2.3507,23.1,1
2.3644,24.4,20
2.3781,22.1,518
2.3918,23.8,653
2.4055,30.5,520
2.4219,23,19
2.4356,23.2,7
2.4493,23.9,54
2.463,23.2,8
2.4767,23.5,35
2.4904,29.8,25
2.5068,23,3
2.5205,23.6,2
2.5342,19.2,33
2.5479,17.6,201
2.5616,15.9,37
2.5753,13.9,57
2.589,13,10
2.6027,13,34
2.6164,11,37
2.6301,10.4,2
2.6438,11.1,15
2.6575,21.7,26
2.674,11.1,2
2.6877,9.9,20
2.7014,11.8,3
2.7151,8.7,3
2.7288,7.2,0
2.7425,7.9,0
3.0055,1.5,NA
3.0192,4.2,0
3.0329,4.9,0
3.0466,4,0
3.0603,6.2,0
3.074,16.7,32
3.0904,16.3,18
3.1041,17.6,1
3.1178,16,50
3.1315,17.3,82
3.1452,15.7,141
3.1589,14.2,11
3.1726,18.5,19
3.1863,11.8,5
3.2,15.8,0
3.2137,18.3,9
3.2274,14.2,175
3.2411,26,68
3.2575,13.8,17
3.2712,17.3,46
3.2849,18.8,401
3.2986,18.3,153
3.3123,20.5,4
3.326,20.1,0
3.3397,23.9,25
3.3534,25.2,15
3.3671,23.9,88
3.3808,22.6,51
3.3945,24.3,34
3.4082,31,183
3.4247,23.4,89
3.4384,23.2,41
3.4521,24.1,56
3.4658,23.5,4
3.4795,21.5,5
3.4932,30.2,22
3.5096,21.8,34
3.5233,21.6,50
3.537,21.3,62
3.5507,21.5,66
3.5644,16.4,94
3.5781,16.1,197
3.5918,15.5,63
3.6055,17.4,22
3.6192,18.9,7
3.6329,13.9,2
3.6466,18.6,0
3.6603,23.1,3
3.6767,10.1,5
3.6904,6.1,1
3.7041,6.2,0
3.7178,5.4,1
3.7315,7.7,1
3.7452,3.2,3
4.0055,2.9,NA
4.0192,2,0
4.0329,4.2,0
4.0466,5.1,0
4.0603,3.7,9
4.074,13.5,1
4.0904,7.6,1
4.1041,6.6,1
4.1178,10.7,1
4.1315,12.3,5
4.1452,13.7,71
4.1589,9.3,41
4.1726,15,26
4.1863,15.1,29
4.2,15,12
4.2137,14.7,13
4.2274,15.9,18
4.2411,22.3,11
4.2575,15.2,2
4.2712,17.5,2
4.2849,19.2,59
4.2986,17.6,43
4.3123,22.3,717
4.326,23.8,328
4.3397,22.7,61
4.3534,24.2,54
4.3671,23.8,7
4.3808,24.2,5
4.3945,23.2,20
4.4082,31.8,39
4.4247,19.9,255
4.4384,23.8,415
4.4521,23.2,624
4.4658,21.7,303
4.4795,21.5,123
4.4932,30.2,39
4.5096,20,19
4.5233,15.8,4
4.537,17.3,26
4.5507,20,114
4.5644,13,474
4.5781,13.2,140
4.5918,13.1,76
4.6055,14.7,103
4.6192,9,204
4.6329,8.8,12
4.6466,14.4,59
4.6603,22.9,113
4.6767,15.2,10
4.6904,8.4,6
4.7041,14.1,4
4.7178,12.4,11
4.7315,7.6,3
4.7452,6.3,0
5.0055,9,NA
5.0192,6.8,14
5.0329,7.9,12
5.0466,7,4
5.0603,4.5,3
5.074,15.2,5
5.0904,11.6,24
5.1041,12.4,2
5.1178,6.8,6
5.1315,15.6,6
5.1452,15.2,9
5.1589,12.2,16
5.1726,13.3,0
5.1863,19,11
5.2,13.2,6
5.2137,12.9,3
5.2274,15.7,0
5.2411,24.8,55
5.2575,14.9,148
5.2712,16.3,110
5.2849,21.3,87
5.2986,21,171
5.3123,19.8,42
5.326,19,11
5.3397,19.3,1
5.3534,22.5,1
5.3671,22,34
5.3808,23.8,252
5.3945,23.4,370
5.4082,32,318
5.4247,24.8,385
5.4384,25.2,174
5.4521,25.5,17
5.4658,23.9,16
5.4795,23.7,19
5.4932,30.3,19
5.5096,23.9,12
5.5233,19,74
5.537,18.1,81
5.5507,21.7,28
5.5644,12.5,18
5.5781,14.6,34
5.5918,18.2,48
5.6055,15.4,71
5.6192,14,99
5.6329,10.8,14
5.6466,12.5,28
5.6603,21.5,18
5.6767,10,9
5.6904,12.5,28
5.7041,9.2,5
5.7178,6.7,0
5.7315,5.8,1
5.7452,3.6,1
6.0055,2.4,NA
6.0192,5.2,0
6.0329,8.2,0
6.0466,5,5
6.0603,10.7,0
6.074,18.3,0
6.0904,12.3,2
6.1041,14.9,12
6.1178,12.9,19
6.1315,9.4,7
6.1452,16.1,7
6.1589,14.9,96
6.1726,16.3,65
6.1863,15.5,25
6.2,12.5,13
6.2137,17.7,4
6.2274,18.1,1
6.2411,26.1,12
6.2575,18.3,20
6.2712,17.5,78
6.2849,18.7,196
6.2986,19.6,226
6.3123,20.7,229
6.326,22.6,154
6.3397,24.3,53
6.3534,24.8,29
6.3671,23.2,12
6.3808,23.2,8
6.3945,24.5,42
6.4082,31.1,424
6.4247,24.2,416
6.4384,23.9,334
6.4521,23.6,51
6.4658,23.4,32
6.4795,27.2,17
6.4932,32.2,45
6.5096,23.3,78
6.5233,19.8,89
6.537,16.9,57
6.5507,14.4,28
6.5644,19,151
6.5781,13.8,283
6.5918,13.9,175
6.6055,17.7,76
6.6192,13.4,72
6.6329,13.7,29
6.6466,11.9,13
6.6603,20.4,20
6.6767,13.7,97
6.6904,8.5,51
6.7041,13.2,10
6.7178,6.8,3
6.7315,13.3,6
6.7452,6.1,96
7.0082,4.6,NA
7.0219,3.7,2
7.0356,6.5,0
7.0493,9.2,15
7.063,8.9,20
7.0767,18,29
7.0932,10.6,35
7.1068,9,52
7.1205,13.2,21
7.1342,9.6,59
7.1479,11,37
7.1616,12.6,67
7.1753,15.4,136
7.189,15.5,109
7.2027,14.4,42
7.2164,14.7,122
7.2301,14.6,18
7.2438,23.3,7
7.2603,15.3,14
7.274,16.5,23
7.2877,16,111
7.3014,17.5,372
7.3151,20.8,618
7.3288,20.3,448
7.3425,19.5,82
7.3562,22,20
7.3699,23.4,37
7.3836,23,6
7.3973,22.7,37
7.411,27.3,189
7.4274,22.7,771
7.4411,23.7,1325
7.4548,23.2,567
7.4685,22.8,363
7.4822,22.3,113
7.4959,28.5,26
7.5123,20.5,20
7.526,19.2,90
