"Time","Temperature","Abundance"
0.0027,10.67,457.0012
0.0219,11.2623,2542.5015
0.0411,12.3067,8741.9257
0.0603,14.13,63428.8552
0.0795,15.06,743.0065
0.0986,12.68,2742.9994
0.1178,17.82,686.0054
0.137,14.42,38399.8861
0.1562,16.52,7771.0181
0.1753,17.97,8228.9865
0.1945,19.19,11656.9823
0.2137,18.93,4228.9982
0.2329,18.8,6399.9941
0.2521,20.37,2400.0033
0.2712,18.82,2743
0.2904,17.99,1943.0007
0.3096,16.84,3656.996
0.3288,17.51,4113.9937
0.3479,19.44,4113.9967
0.3671,18.13,3313.9996
0.3863,17.94,9600.0054
0.4055,16.53,42285.936
0.4247,12.79,11200.0152
0.4438,12.109,11499.2912
0.463,11.449,11511.819
0.4822,10.7879,11434.1236
0.5014,10.3,14170.9851
0.5205,8.6,5371.0009
0.5397,7.03,2571.0011
0.5589,5.05,1856.9996
0.5781,6.13,457.0017
0.5973,5.8141,868.761
0.6164,3.37,656.9992
0.6356,1.98,628.9992
0.6548,2.8021,241.2452
0.674,3.47,113.9994
0.6932,3.75,0
0.7123,3.74,29
0.7315,3.43,56.9999
0.7507,4.3763,3.9516
0.7699,4.7135,0
0.789,4.2041,5.1181
0.8082,3.72,56.9998
0.8274,4.359,2.1227
0.8466,4.93,56.9999
0.8658,4.75,28.9998
0.8849,5.54,113.9997
0.9041,4.84,0
0.9233,6.1823,19.3731
0.9425,7.661,50.8233
0.9616,9.2406,76.6305
0.9808,10.8725,101.8463
1,12.5045,143.8595
1.0192,14.09,229.0043
1.0384,15.63,2286.0185
1.0575,14.86,914.0112
1.0767,15.4928,2205.4328
1.0959,16.0394,4080.4393
1.1151,15.65,8228.9861
1.1342,17.36,1143.0029
1.1534,12.75,1371.001
1.1726,15.55,0
1.1918,15.07,1142.9962
1.211,15.67,571.0003
1.2301,17.32,229.0005
1.2493,17.71,799.9995
1.2685,17.8134,789.3657
1.2877,17.6906,902.7871
1.3068,17.3466,1158.4482
1.326,17.33,1143.0007
1.3452,17.0419,1639.0106
1.3644,16.66,2171.0025
1.3836,14.03,2629.0038
1.4027,13.59,0
1.4219,12.8436,487.6462
1.4411,12.1305,1732.3536
1.4603,11.4419,3521.401
1.4795,10.7567,5811.5756
1.4986,10.05,8713.9973
1.5178,9,8228.9966
1.537,8.12,3514.0007
1.5562,6.83,1999.9989
1.5753,6.9,1428.9987
1.5945,7.28,999.999
1.6137,7.0469,341.6235
1.6329,5.21,399.9994
1.6521,3.934,480.2423
1.6712,2.84,485.9997
1.6904,2.299,126.7522
1.7096,1.91,0
1.7288,1.43,56.9999
1.7479,1.8215,34.1596
1.7671,1.43,113.9997
1.7863,1.79,0
1.8055,3.22,56.9998
1.8247,1.41,56.9997
1.8438,0.82,0
1.863,3.51,0
1.8822,1.83,0
1.9014,2.07,0
1.9205,4.43,0
1.9397,6.4529,5.0998
1.9589,7.625,45.1037
1.9781,8.8522,114.8332
1.9973,10.08,229
2.0164,11.12,342.999
2.0356,13.09,0
2.0548,13.2746,88.7192
2.074,13.351,390.144
2.0932,13.33,913.9985
2.1123,13.77,1599.999
2.1315,14.6,914.0021
2.1507,16.2,914.0024
2.1699,18.93,7770.9899
2.189,18.31,2514.0036
2.2082,18.4651,7127.6227
2.2274,19.58,686.0014
2.2466,19.42,2285.9977
2.2658,18.54,686.0007
2.2849,19.46,2513.9951
2.3041,19.6,457.0027
2.3233,17.72,7542.9832
2.3425,17.28,2057.0057
2.3616,14.88,8685.9889
2.3808,14.35,10513.9921
2.4,13.8541,14345.141
2.4192,13.3811,18162.14
2.4384,12.9435,21823.1093
2.4575,12.5359,25372.1491
2.4767,12.14,29028.961
2.4959,10.8018,5715.4732
2.5151,8.77,3542.9984
2.5342,5.64,1713.9993
2.5534,7.24,914.0005
2.5726,5.31,343.0007
2.5918,5.48,570.9997
2.611,3.71,229.0002
2.6301,3.02,57.0002
2.6493,1.6569,316.9415
2.6685,0.46,686.0006
2.6877,0.62,800.0015
2.7068,1.89,343.0012
2.726,3.68,0
2.7452,4.76,113.9998
2.7644,5.37,0
2.7836,5.8368,146.8891
2.8027,4.9822,257.9674
2.8219,4.2459,146.4512
2.8411,4.571,112.6055
2.8603,5.89,114
2.8795,5.49,228.9992
2.8986,5.6,113.9998
2.9178,7.19,0
2.937,7.205,114.0001
2.9562,7.9999,47.715
2.9753,8.8555,6.2072
2.9945,9.56,228.9992
3.0137,11.9876,1515.7741
3.0329,12.98,914.0043
3.0521,15.94,914.0025
3.0712,15.8783,5400.5277
3.0904,16.7972,2339.5357
3.1096,17.08,7770.9818
3.1288,18.75,15313.9709
3.1479,17.46,4800.0074
3.1671,15.81,3429.0019
3.1863,18.06,2742.9959
3.2055,18.94,1371.0005
3.2247,17.14,1600.0006
3.2438,20.0034,1574.4357
3.263,19.7,1599.9977
3.2822,20.28,686.0011
3.3014,22.27,2743.0052
3.3205,21.37,25142.9789
3.3397,20.1465,28949.9417
3.3589,19.43,32914.0064
3.3781,16.99,82285.9003
3.3973,14.76,55085.9967
3.4164,13.8066,36829.9456
3.4356,10.91,44570.9734
3.4548,8.13,32685.9716
3.474,8.68,10743.0131
3.4932,8.44,8457.009
3.5123,6,10513.9853
3.5315,6.03,1371.0056
3.5507,5.42,1038.8116
3.5699,5.21,856.9999
3.589,4.96,286.0009
3.6082,1.9437,462.3935
3.6274,-0.82,114.0006
3.6466,-0.5139,231.2819
3.6658,-0.0558,313.5892
3.6849,0.5618,343.9304
3.7041,1.3268,342.4415
3.7233,2.26,0
3.7425,3.05,56.9997
3.7616,0.48,113.9996
3.7808,0.32,170.9995
3.8,-0.38,0
3.8192,0.05,0
3.8384,0.85,114.0004
3.8575,3.1415,229.3285
3.8767,4.1741,142.8328
3.8959,5.1328,48.0794
3.9151,6.25,0
3.9342,5.31,0
3.9534,8.53,2513.9931
3.9726,9.28,0
3.9918,11.0049,3148.4781
4.011,11.64,686.0007
